Date, AMO 
1923.41666666667,0.66
1923.5,0.74
1923.58333333333,0.89
1923.66666666667,0.72
1923.75,0.45
1923.83333333333,0.38
1923.91666666667,0.13
1924,0.25
1924.08333333333,0.36
1924.16666666667,0.32
1924.25,0.34
1924.33333333333,0.22
1924.41666666667,0.39
1924.5,0.56
1924.58333333333,0.60
1924.66666666667,0.57
1924.75,0.45
1924.83333333333,0.45
1924.91666666667,0.40
1925,0.48
1925.08333333333,0.38
1925.16666666667,0.38
1925.25,0.39
1925.33333333333,0.30
1925.41666666667,0.45
1925.5,0.47
1925.58333333333,0.50
1925.66666666667,0.42
1925.75,0.27
1925.83333333333,0.36
1925.91666666667,0.15
1926,0.06
1926.08333333333,0.04
1926.16666666667,0.17
1926.25,0.10
1926.33333333333,0.18
1926.41666666667,0.23
1926.5,0.28
1926.58333333333,0.33
1926.66666666667,0.22
1926.75,0.07
1926.83333333333,0.09
1926.91666666667,0.01
1927,0.01
1927.08333333333,0.01
1927.16666666667,0.05
1927.25,0.10
1927.33333333333,0.01
1927.41666666667,0.14
1927.5,0.25
1927.58333333333,0.23
1927.66666666667,0.15
1927.75,0.04
1927.83333333333,0.10
1927.91666666667,0.03
1928,0.11
1928.08333333333,0.22
1928.16666666667,0.21
1928.25,0.39
1928.33333333333,0.36
1928.41666666667,0.30
1928.5,0.30
1928.58333333333,0.33
1928.66666666667,0.23
1928.75,0.17
1928.83333333333,0.20
1928.91666666667,0.22
1929,0.17
1929.08333333333,0.17
1929.16666666667,0.21
1929.25,0.23
1929.33333333333,0.46
1929.41666666667,0.57
1929.5,0.58
1929.58333333333,0.53
1929.66666666667,0.36
1929.75,0.21
1929.83333333333,0.22
1929.91666666667,0.32
1930,0.28
1930.08333333333,0.33
1930.16666666667,0.33
1930.25,0.51
1930.33333333333,0.36
1930.41666666667,0.38
1930.5,0.32
1930.58333333333,0.38
1930.66666666667,0.11
1930.75,0.10
1930.83333333333,0.17
1930.91666666667,0.08
1931,0.06
1931.08333333333,0.01
1931.16666666667,0.03
1931.25,0.02
1931.33333333333,0.06
1931.41666666667,0.01
1931.5,0.13
1931.58333333333,0.17
1931.66666666667,0.02
1931.75,0.17
