Year,ENSO
1980.6667,-0.8
1980.7500,0.0
1980.8333,-0.6
1980.9167,-0.1
1981.0000,0.6
1981.0833,-0.3
1981.1667,-2.1
1981.2500,-0.2
1981.3333,1.3
1981.4167,2.0
1981.5000,1.4
1981.5833,1.2
1981.6667,0.5
1981.7500,-0.6
1981.8333,0.3
1981.9167,0.8
1982.0000,2.0
1982.0833,0.4
1982.1667,1.0
1982.2500,0.1
1982.3333,-0.6
1982.4167,-1.7
1982.5000,-2.5
1982.5833,-2.9
1982.6667,-2.9
1982.7500,-2.8
1982.8333,-4.3
1982.9167,-3.7
1983.0000,-5.8
1983.0833,-6.0
1983.1667,-4.0
1983.2500,-1.5
1983.3333,1.0
1983.4167,0.1
1983.5000,-1.0
1983.5833,0.2
1983.6667,1.4
1983.7500,0.7
1983.8333,-0.2
1983.9167,0.0
1984.0000,0.3
1984.0833,1.4
1984.1667,-0.4
1984.2500,0.6
1984.3333,0.3
1984.4167,-0.6
1984.5000,0.3
1984.5833,0.7
1984.6667,0.2
1984.7500,-0.5
1984.8333,0.4
1984.9167,-0.2
1985.0000,-0.5
1985.0833,2.0
1985.1667,1.3
1985.2500,1.9
1985.3333,0.7
1985.4167,-0.6
1985.5000,-0.2
1985.5833,1.6
1985.6667,0.0
1985.7500,-0.6
1985.8333,-0.3
1985.9167,0.4
1986.0000,1.6
1986.0833,-1.7
1986.1667,0.8
1986.2500,0.5
1986.3333,-0.4
1986.4167,1.6
1986.5000,0.5
1986.5833,-0.6
1986.6667,-0.8
1986.7500,1.1
1986.8333,-2.0
1986.9167,-2.4
1987.0000,-1.1
1987.0833,-2.1
1987.1667,-2.1
1987.2500,-2.3
1987.3333,-2.1
1987.4167,-1.8
1987.5000,-2.2
1987.5833,-1.5
1987.6667,-1.7
1987.7500,-0.6
1987.8333,0.0
1987.9167,-0.8
1988.0000,-0.2
1988.0833,-0.6
1988.1667,1.1
1988.2500,0.2
1988.3333,1.5
1988.4167,0.1
1988.5000,1.7
1988.5833,2.5
1988.6667,3.0
1988.7500,2.3
1988.8333,2.8
1988.9167,2.0
1989.0000,2.5
1989.0833,2.0
1989.1667,1.8
1989.2500,2.7
1989.3333,2.0
1989.4167,1.2
1989.5000,1.5
1989.5833,-0.5
1989.6667,0.8
1989.7500,1.3
1989.8333,-0.4
1989.9167,-0.9
1990.0000,-0.1
1990.0833,-3.0
1990.1667,-0.7
1990.2500,0.3
1990.3333,2.0
1990.4167,0.5
1990.5000,0.9
1990.5833,-0.3
1990.6667,-1.2
1990.7500,0.4
1990.8333,-0.8
1990.9167,-0.4
1991.0000,1.0
1991.0833,0.4
1991.1667,-1.1
1991.2500,-1.0
1991.3333,-1.7
1991.4167,-0.2
1991.5000,0.0
1991.5833,-0.7
1991.6667,-2.5
1991.7500,-1.7
1991.8333,-1.1
1991.9167,-2.9
1992.0000,-4.7
1992.0833,-1.5
1992.1667,-3.3
1992.2500,-1.7
1992.3333,0.4
1992.4167,-1.0
1992.5000,-1.0
1992.5833,0.6
1992.6667,0.1
1992.7500,-2.3
1992.8333,-1.1
1992.9167,-0.9
1993.0000,-1.5
1993.0833,-1.2
1993.1667,-0.8
1993.2500,-1.9
1993.3333,-0.6
1993.4167,-1.4
1993.5000,-1.3
1993.5833,-1.6
1993.6667,-1.2
1993.7500,-1.8
1993.8333,-0.1
1993.9167,0.3
1994.0000,-0.2
1994.0833,0.4
1994.1667,-1.1
1994.2500,-2.1
1994.3333,-1.1
1994.4167,-0.7
1994.5000,-2.2
1994.5833,-2.0
1994.6667,-2.6
1994.7500,-1.9
1994.8333,-0.9
1994.9167,-2.0
1995.0000,-0.7
1995.0833,-0.2
1995.1667,1.2
1995.2500,-1.1
1995.3333,-0.6
1995.4167,0.2
1995.5000,0.7
1995.5833,0.5
1995.6667,0.4
1995.7500,0.0
1995.8333,0.1
1995.9167,-0.8
1996.0000,1.6
1996.0833,0.4
1996.1667,1.9
1996.2500,1.3
1996.3333,0.5
1996.4167,1.9
1996.5000,1.1
1996.5833,1.2
1996.6667,1.0
1996.7500,1.0
1996.8333,-0.1
1996.9167,1.5
1997.0000,0.8
1997.0833,2.9
1997.1667,-0.7
1997.2500,-1.0
1997.3333,-2.2
1997.4167,-2.3
1997.5000,-1.2
1997.5833,-2.4
1997.6667,-2.4
1997.7500,-2.4
1997.8333,-2.0
1997.9167,-1.6
1998.0000,-4.4
1998.0833,-3.4
1998.1667,-4.0
1998.2500,-2.4
1998.3333,0.4
1998.4167,1.6
1998.5000,2.0
1998.5833,1.9
1998.6667,1.7
1998.7500,1.8
1998.8333,1.7
1998.9167,2.3
1999.0000,3.0
1999.0833,1.6
1999.1667,2.1
1999.2500,2.3
1999.3333,0.4
1999.4167,0.4
1999.5000,0.9
1999.5833,0.6
1999.6667,-0.1
1999.7500,1.6
1999.8333,1.7
1999.9167,2.4
2000.0000,1.1
2000.0833,2.7
2000.1667,2.2
2000.2500,2.0
2000.3333,0.6
2000.4167,-0.3
2000.5000,-0.3
2000.5833,1.2
2000.6667,1.4
2000.7500,1.8
2000.8333,3.0
2000.9167,1.3
2001.0000,1.6
2001.0833,2.8
2001.1667,1.5
2001.2500,0.3
2001.3333,-0.8
2001.4167,0.5
2001.5000,-0.3
2001.5833,-0.7
2001.6667,0.3
2001.7500,-0.1
2001.8333,1.1
2001.9167,-1.4
2002.0000,0.7
2002.0833,1.8
2002.1667,-0.4
2002.2500,-0.1
2002.3333,-1.4
2002.4167,-0.4
2002.5000,-0.8
2002.5833,-1.6
2002.6667,-1.0
2002.7500,-0.6
2002.8333,-0.7
2002.9167,-1.8
2003.0000,-0.3
2003.0833,-1.1
2003.1667,-0.5
2003.2500,-0.2
2003.3333,-0.5
2003.4167,-1.0
2003.5000,0.5
2003.5833,0.2
2003.6667,-0.2
2003.7500,0.0
2003.8333,-0.5
2003.9167,1.8
2004.0000,-2.2
2004.0833,2.0
2004.1667,0.7
2004.2500,-1.5
2004.3333,1.7
2004.4167,-1.4
2004.5000,-0.8
2004.5833,-0.5
2004.6667,-0.6
2004.7500,-0.1
2004.8333,-1.1
2004.9167,-1.3
2005.0000,0.6
2005.0833,-5.2
2005.1667,0.5
2005.2500,-1.0
2005.3333,-1.3
2005.4167,0.7
2005.5000,0.3
2005.5833,-0.6
2005.6667,0.6
2005.7500,2.0
2005.8333,-0.3
2005.9167,0.0
2006.0000,2.7
2006.0833,0.2
2006.1667,2.9
2006.2500,1.8
2006.3333,-0.8
2006.4167,-0.4
2006.5000,-1.0
2006.5833,-1.7
2006.6667,-1.0
2006.7500,-2.1
2006.8333,0.1
2006.9167,-0.5
2007.0000,-1.3
2007.0833,-0.1
2007.1667,0.3
2007.2500,-0.2
2007.3333,-0.2
2007.4167,0.9
2007.5000,-0.5
2007.5833,0.7
2007.6667,0.3
2007.7500,1.2
2007.8333,1.4
2007.9167,2.7
2008.0000,2.9
2008.0833,4.4
2008.1667,2.4
2008.2500,1.1
2008.3333,-0.1
2008.4167,1.0
2008.5000,0.5
2008.5833,1.7
2008.6667,2.0
2008.7500,2.1
2008.8333,2.2
2008.9167,2.4
2009.0000,1.8
2009.0833,3.1
2009.1667,0.7
2009.2500,1.3
2009.3333,-0.2
2009.4167,0.2
2009.5000,0.4
2009.5833,-0.3
2009.6667,0.5
2009.7500,-2.0
2009.8333,-1.0
2009.9167,-1.2
2010.0000,-1.8
2010.0833,-2.4
2010.1667,-1.1
2010.2500,2.0
2010.3333,1.5
2010.4167,0.6
2010.5000,3.0
2010.5833,3.0
2010.6667,3.7
2010.7500,2.9
2010.8333,2.1
2010.9167,4.8
2011.0000,3.8
2011.0833,4.5
2011.1667,4.2
2011.2500,3.1
2011.3333,0.6
2011.4167,0.4
2011.5000,1.6
2011.5833,0.7
2011.6667,1.7
2011.7500,1.2
2011.8333,1.8
2011.9167,4.1
2012.0000,1.8
2012.0833,0.8
2012.1667,1.2
2012.2500,-0.4
2012.3333,0.1
2012.4167,-0.7
2012.5000,-0.1
